内蒙单播[联通],#genre#
CCTV-1高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226446/10000100000000060000000000870185_0.smil
CCTV-2高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226445/10000100000000060000000000870187_0.smil
CCTV-3高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226422/10000100000000060000000000808184_0.smil
CCTV-4高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226450/10000100000000060000000000870191_0.smil
CCTV-5高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226423/10000100000000060000000000808427_0.smil
CCTV-5+高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226077/10000100000000060000000000662662_0.smil
CCTV-6高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226426/10000100000000060000000000808425_0.smil
CCTV-7高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226452/10000100000000060000000000870192_0.smil
CCTV-8高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226444/10000100000000060000000000808423_0.smil
CCTV-9高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226443/10000100000000060000000000870186_0.smil
CCTV-10高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226454/10000100000000060000000000870188_0.smil
CCTV-11高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226102/10000100000000060000000000719622_0.smil
CCTV-12高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226447/10000100000000060000000000870190_0.smil
CCTV-13高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226678/382484600.smil
CCTV-14高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226456/10000100000000060000000000870189_0.smil
CCTV-15高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226103/10000100000000060000000000719621_0.smil
CCTV-16高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226635/404077257.smil
CCTV-17高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226654/394801661.smil
CCTV4K超高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226776/475516698.smil
CCTV-NEWS,rtsp://10.11.43.21/PLTV/88888912/224/3221226655/426212008.smil
CETV1高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226772/455625684.smil
CETV2,rtsp://10.11.43.21/PLTV/88888912/224/3221226050/10000100000000060000000000660100_0.smil
CETV4高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226437/10000100000000060000000000834035_0.smil
CCTV4中文国际美洲,rtsp://10.11.43.21/PLTV/88888912/224/3221226642/394108651.smil
CGTN英文纪录,rtsp://10.11.43.21/PLTV/88888912/224/3221226619/394108649.smil
CGTN英语,rtsp://10.11.43.21/PLTV/88888912/224/3221226615/394108645.smil
CCTV4中文国际欧洲,rtsp://10.11.43.21/PLTV/88888912/224/3221226638/394108021.smil
CGTN西班牙语,rtsp://10.11.43.21/PLTV/88888912/224/3221226676/394108020.smil
CGTN法语,rtsp://10.11.43.21/PLTV/88888912/224/3221226625/394108015.smil
CGTN阿拉伯语,rtsp://10.11.43.21/PLTV/88888912/224/3221226646/394108011.smil
CGTN俄语,rtsp://10.11.43.21/PLTV/88888912/224/3221226650/394108007.smil
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
北京纪实8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
CHC动作电影,https://gdcucc.v1.mk/gdcucc/chcdzdy.m3u8
CHC家庭影院,https://gdcucc.v1.mk/gdcucc/chcjtyy.m3u8
内蒙古卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226078/10000100000000060000000000662786_0.smil
内蒙古蒙古语卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226086/10000100000000060000000000663216_0.smil
内蒙古经济生活高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226113/10000100000000060000000000784886_0.smil
内蒙古文体娱乐高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226111/10000100000000060000000000784888_0.smil
内蒙古农牧频道高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226112/10000100000000060000000000784887_0.smil
内蒙古新闻综合高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226109/10000100000000060000000000784890_0.smil
内蒙古少儿高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226108/10000100000000060000000000784891_0.smil
内蒙古蒙语文化高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226110/10000100000000060000000000784889_0.smil
呼和浩特新闻综合,rtsp://10.11.43.21/PLTV/88888912/224/3221226585/10000100000000060000000001126204_0.smil
呼和浩特影视娱乐,rtsp://10.11.43.21/PLTV/88888912/224/3221226594/10000100000000060000000001126199_0.smil
包头新闻综合,rtsp://10.13.37.109:554/PLTV/88888912/224/3221226577/10000100000000060000000001125938_0.smil
包头生活服务,rtsp://10.13.37.118:554/PLTV/88888912/224/3221226600/10000100000000060000000001125937_0.smil
浙江卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226460/10000100000000060000000000871725_0.smil
江苏卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226451/10000100000000060000000000871724_0.smil
湖北卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226472/10000100000000060000000000871727_0.smil
广东卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226458/10000100000000060000000000871726_0.smil
山西卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226740/426211964.smil
贵州卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226466/10000100000000060000000000873021_0.smil
东方卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226484/10000100000000060000000000873018_0.smil
辽宁卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226468/10000100000000060000000000871728_0.smil
山东卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226455/10000100000000060000000000873014_0.smil
吉林卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226733/454789104.smil
黑龙江卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226488/10000100000000060000000000873017_0.smil
广西卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226671/426211968.smil
兵团卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226706/426211984.smil
安徽卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226480/10000100000000060000000000873020_0.smil
北京卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226462/10000100000000060000000000871722_0.smil
东南卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226457/10000100000000060000000000873026_0.smil
河北卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226464/10000100000000060000000000871729_0.smil
天津卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226459/10000100000000060000000000873019_0.smil
湖南卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226449/10000100000000060000000000871723_0.smil
四川卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226453/10000100000000060000000000873023_0.smil
深圳卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226476/10000100000000060000000000873016_0.smil
宁夏卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226679/426211928.smil
云南卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226683/426211916.smil
重庆卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226715/454789108.smil
河南卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226730/426211920.smil
江西卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226711/454789112.smil
海南卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226622/383026202.smil
青海卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226675/426211956.smil
甘肃卫视高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226707/454789116.smil
陕西卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226677/426212062.smil
甘肃卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226695/426211182.smil
西藏卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226709/426211198.smil
新疆卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226714/426211976.smil
三沙卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226768/433549663.smil
金鹰纪实高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226506/10000100000000060000000001119245_0.smil
北京纪实高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226512/10000100000000060000000001119242_0.smil
嘉佳卡通,rtsp://10.11.43.21/PLTV/88888912/224/3221226704/394902423.smil
卡酷动画,rtsp://10.11.43.21/PLTV/88888912/224/3221226651/426212078.smil
金鹰卡通,rtsp://10.11.43.21/PLTV/88888912/224/3221226716/426212012.smil
山东教育,rtsp://10.11.43.21/PLTV/88888912/224/3221226752/426211906.smil
爱综艺,rtsp://10.11.43.21/PLTV/88888912/224/3221226694/426212090.smil
爱体育,rtsp://10.11.43.21/PLTV/88888912/224/3221226647/426212098.smil
爱电影,rtsp://10.11.43.21/PLTV/88888912/224/3221226720/426211996.smil
爱大剧,rtsp://10.11.43.21/PLTV/88888912/224/3221226669/426212003.smil
华数精选,rtsp://10.11.43.21/PLTV/88888912/224/3221226065/10000100000000060000000000661884_0.smil
全纪实,rtsp://10.11.43.21/PLTV/88888912/224/3221226059/10000100000000060000000000660271_0.smil
动漫秀场,rtsp://10.11.43.21/PLTV/88888912/224/3221226051/10000100000000060000000000660108_0.smil
金色频道,rtsp://10.11.43.21/PLTV/88888912/224/3221226061/10000100000000060000000000661731_0.smil
游戏风云,rtsp://10.11.43.21/PLTV/88888912/224/3221226053/10000100000000060000000000660229_0.smil
西乌电视台,rtsp://10.11.43.21/PLTV/88888912/224/3221226049/10000100000000060000000000660101_0.smil

央卫频道[移动],#genre#
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
