
北京联通组播,#genre#
CCTV-1 综合,http://111.199.239.209:3568/rtp/239.3.1.129:8008
CCTV-2 财经,http://111.199.239.209:3568/rtp/239.3.1.60:8084
CCTV-3 综艺,http://111.199.239.209:3568/rtp/239.3.1.172:8001
CCTV-4 中文国际,http://111.199.239.209:3568/rtp/239.3.1.105:8092
CCTV-4 中文国际,http://111.199.239.209:3568/rtp/239.3.1.213:4220
CCTV-4 中文国际,http://111.199.239.209:3568/rtp/239.3.1.214:4220
CCTV-5 体育,http://111.199.239.209:3568/rtp/239.3.1.173:8001
CCTV-5+ 体育赛事,http://111.199.239.209:3568/rtp/239.3.1.130:8004
CCTV-6 电影,http://111.199.239.209:3568/rtp/239.3.1.174:8001
CCTV-7 国防军事,http://111.199.239.209:3568/rtp/239.3.1.61:8104
CCTV-8 电视剧,http://111.199.239.209:3568/rtp/239.3.1.175:8001
CCTV-9 纪录,http://111.199.239.209:3568/rtp/239.3.1.62:8112
CCTV-10 科教,http://111.199.239.209:3568/rtp/239.3.1.63:8116
CCTV-11 戏曲,http://111.199.239.209:3568/rtp/239.3.1.152:8120
CCTV-12 社会与法,http://111.199.239.209:3568/rtp/239.3.1.64:8124
CCTV-13 新闻,http://111.199.239.209:3568/rtp/239.3.1.124:8128
CCTV-14 少儿,http://111.199.239.209:3568/rtp/239.3.1.65:8132
CCTV-15 音乐,http://111.199.239.209:3568/rtp/239.3.1.153:8136
CCTV-16 奥林匹克,http://111.199.239.209:3568/rtp/239.3.1.183:8001
CCTV-16 奥林匹克,http://111.199.239.209:3568/rtp/239.3.1.184:8001
CCTV-17 农业农村,http://111.199.239.209:3568/rtp/239.3.1.151:8144
北京卫视,http://111.199.239.209:3568/rtp/239.3.1.241:8000
东方卫视,http://111.199.239.209:3568/rtp/239.3.1.136:8032
天津卫视,http://111.199.239.209:3568/rtp/239.3.1.141:1234
贵州卫视,http://111.199.239.209:3568/rtp/239.3.1.149:8076
东南卫视,http://111.199.239.209:3568/rtp/239.3.1.156:8148
江西卫视,http://111.199.239.209:3568/rtp/239.3.1.123:8164
甘肃卫视,http://111.199.239.209:3568/rtp/239.3.1.49:8188
安徽卫视,http://111.199.239.209:3568/rtp/239.3.1.211:8064
西藏卫视,http://111.199.239.209:3568/rtp/239.3.1.47:8164
青海卫视,http://111.199.239.209:3568/rtp/239.3.1.44:8184
深圳卫视,http://111.199.239.209:3568/rtp/239.3.1.134:8020
吉林卫视,http://111.199.239.209:3568/rtp/239.3.1.240:8172
四川卫视,http://111.199.239.209:3568/rtp/239.3.1.29:8288
三沙卫视,http://111.199.239.209:3568/rtp/239.3.1.155:4120
湖南卫视,http://111.199.239.209:3568/rtp/239.3.1.132:8012
浙江卫视,http://111.199.239.209:3568/rtp/239.3.1.137:8036
广东卫视,http://111.199.239.209:3568/rtp/239.3.1.142:8048
河南卫视,http://111.199.239.209:3568/rtp/239.3.1.27:8128
重庆卫视,http://111.199.239.209:3568/rtp/239.3.1.122:8160
黑龙江卫视,http://111.199.239.209:3568/rtp/239.3.1.133:8016
河北卫视,http://111.199.239.209:3568/rtp/239.3.1.148:8072
辽宁卫视,http://111.199.239.209:3568/rtp/239.3.1.210:8056
新疆卫视,http://111.199.239.209:3568/rtp/239.3.1.48:8160
内蒙古卫视,http://111.199.239.209:3568/rtp/239.3.1.43:8176
山东卫视,http://111.199.239.209:3568/rtp/239.3.1.209:8052
海南卫视,http://111.199.239.209:3568/rtp/239.3.1.45:8304
宁夏卫视,http://111.199.239.209:3568/rtp/239.3.1.46:8124
云南卫视,http://111.199.239.209:3568/rtp/239.3.1.26:8108
江苏卫视,http://111.199.239.209:3568/rtp/239.3.1.135:8028
广西卫视,http://111.199.239.209:3568/rtp/239.3.1.39:8300
湖北卫视,http://111.199.239.209:3568/rtp/239.3.1.138:8044
淘电影,http://111.199.239.209:3568/rtp/239.3.1.250:8001
经典电影,http://111.199.239.209:3568/rtp/239.3.1.195:9024

百事通代,#genre#
CCTV-1 综合,http://php.jdshipin.com:8880/bst.php?id=cctv1hd/4000000
CCTV-1 综合,http://php.jdshipin.com:8880/bst.php?id=cctv1hd8m/8000000
CCTV-1 综合,http://php.jdshipin.com:8880/bst.php?id=cctv1
CCTV-2 财经,http://php.jdshipin.com:8880/bst.php?id=cctv2hd8m/8000000
CCTV-2 财经,http://php.jdshipin.com:8880/bst.php?id=cctv2
CCTV-3 综艺,http://php.jdshipin.com:8880/bst.php?id=cctv38m/8000000
CCTV-3 综艺,http://php.jdshipin.com:8880/bst.php?id=cctv3
CCTV-4 中文国际,http://php.jdshipin.com:8880/bst.php?id=cctv4
CCTV-4 中文国际,http://php.jdshipin.com:8880/bst.php?id=cctv4hd8m/8000000
CCTV-5 体育,http://php.jdshipin.com:8880/bst.php?id=cctv5hd/4000000
CCTV-5 体育,http://php.jdshipin.com:8880/bst.php?id=cctv58m/8000000
CCTV-5 体育,http://php.jdshipin.com:8880/bst.php?id=cctv5
CCTV-5+ 体育赛事,http://php.jdshipin.com:8880/bst.php?id=cctv5phd/4000000
CCTV-5+ 体育赛事,http://php.jdshipin.com:8880/bst.php?id=cctv5phd8m/8000000
CCTV-5+ 体育赛事,http://php.jdshipin.com:8880/bst.php?id=cctv5p
CCTV-6 电影,http://php.jdshipin.com:8880/bst.php?id=cctv6hd8m/8000000
CCTV-6 电影,http://php.jdshipin.com:8880/bst.php?id=cctv6hd/4000000
CCTV-6 电影,http://php.jdshipin.com:8880/bst.php?id=cctv6
CCTV-7 国防军事,http://php.jdshipin.com:8880/bst.php?id=cctv7
CCTV-7 国防军事,http://php.jdshipin.com:8880/bst.php?id=cctv7hd8m/8000000
CCTV-8 电视剧,http://php.jdshipin.com:8880/bst.php?id=cctv8hd8m/8000000
CCTV-8 电视剧,http://php.jdshipin.com:8880/bst.php?id=cctv8hd/4000000
CCTV-8 电视剧,http://php.jdshipin.com:8880/bst.php?id=cctv8
CCTV-9 纪录,http://php.jdshipin.com:8880/bst.php?id=cctv9hd8m/8000000
CCTV-9 纪录,http://php.jdshipin.com:8880/bst.php?id=cctv9
CCTV-10 科教,http://php.jdshipin.com:8880/bst.php?id=cctv10
CCTV-10 科教,http://php.jdshipin.com:8880/bst.php?id=cctv10hd8m/8000000
CCTV-10 科教,http://php.jdshipin.com:8880/bst.php?id=cctv10hd/4000000
CCTV-11 戏曲,http://php.jdshipin.com:8880/bst.php?id=cctv11hd8m/8000000
CCTV-11 戏曲,http://php.jdshipin.com:8880/bst.php?id=cctv11
CCTV-12 社会与法,http://php.jdshipin.com:8880/bst.php?id=cctv12hd8m/8000000
CCTV-12 社会与法,http://php.jdshipin.com:8880/bst.php?id=cctv12
CCTV-13 新闻,http://php.jdshipin.com:8880/bst.php?id=cctv13xwhd8m/8000000
CCTV-13 新闻,http://php.jdshipin.com:8880/bst.php?id=cctv13
CCTV-14 少儿,http://php.jdshipin.com:8880/bst.php?id=cctvsehd8m/8000000
CCTV-14 少儿,http://php.jdshipin.com:8880/bst.php?id=cctvsehd/4000000
CCTV-14 少儿,http://php.jdshipin.com:8880/bst.php?id=cctv14
CCTV-15 音乐,http://php.jdshipin.com:8880/bst.php?id=cctv15hd8m/8000000
CCTV-15 音乐,http://php.jdshipin.com:8880/bst.php?id=cctv15
CCTV-16 奥林匹克,http://php.jdshipin.com:8880/bst.php?id=cctv16
CCTV-16 奥林匹克,http://php.jdshipin.com:8880/bst.php?id=cctv16hd8m/8000000
CCTV-16 奥林匹克,http://php.jdshipin.com:8880/bst.php?id=cctv16hd4k/15000000
CCTV-17 农业农村,http://php.jdshipin.com:8880/bst.php?id=cctv17hd8m/8000000
CCTV4k,http://php.jdshipin.com:8880/cqyx.php?id=CCTV4K
CCTV4k,http://php.jdshipin.com:8880/bst.php?id=cctv4k
CCTV4K,http://php.jdshipin.com:8880/bst.php?id=cctv4k/15000000
湖北卫视,http://php.jdshipin.com:8880/bst.php?id=hbwshd/4000000
河北卫视,http://php.jdshipin.com:8880/bst.php?id=hbws
江苏卫视,http://php.jdshipin.com:8880/bst.php?id=jswshd/4000000
广西卫视,http://php.jdshipin.com:8880/bst.php?id=gxws
四川卫视,http://php.jdshipin.com:8880/bst.php?id=scwshd/8000000
广东卫视,http://php.jdshipin.com:8880/bst.php?id=gdwshd8m/8000000
深圳卫视,http://php.jdshipin.com:8880/bst.php?id=szwshd8m/8000000
甘肃卫视,http://php.jdshipin.com:8880/bst.php?id=gsws
新疆卫视,http://php.jdshipin.com:8880/bst.php?id=xjws
湖南卫视,http://php.jdshipin.com:8880/bst.php?id=hnwshd/4000000
辽宁卫视,http://php.jdshipin.com:8880/bst.php?id=lnwshd/4000000
江苏卫视,http://php.jdshipin.com:8880/bst.php?id=jsws
江西卫视,http://php.jdshipin.com:8880/bst.php?id=jxwshd/4000000
湖南卫视,http://php.jdshipin.com:8880/bst.php?id=hunanwshd8m/8000000
广东卫视,http://php.jdshipin.com:8880/bst.php?id=gdws
云南卫视,http://php.jdshipin.com:8880/bst.php?id=ynws
河南卫视,http://php.jdshipin.com:8880/bst.php?id=hnwshd8m/8000000
天津卫视,http://php.jdshipin.com:8880/bst.php?id=tjwshd/4000000
山东卫视,http://php.jdshipin.com:8880/bst.php?id=sdws
天津卫视,http://php.jdshipin.com:8880/bst.php?id=tjwshd8m/8000000
山东卫视,http://php.jdshipin.com:8880/bst.php?id=sdwshd/4000000
西藏卫视,http://php.jdshipin.com:8880/bst.php?id=xzws
重庆卫视,http://php.jdshipin.com:8880/bst.php?id=cqws8m/8000000
辽宁卫视,http://php.jdshipin.com:8880/bst.php?id=lnws
黑龙江卫视,http://php.jdshipin.com:8880/bst.php?id=hljwshd/4000000
海南卫视,http://php.jdshipin.com:8880/bst.php?id=hainan
青海卫视,http://php.jdshipin.com:8880/bst.php?id=qhws
湖北卫视,http://php.jdshipin.com:8880/bst.php?id=hubeiws8m/8000000
安徽卫视,http://php.jdshipin.com:8880/bst.php?id=ahws
广西卫视,http://php.jdshipin.com:8880/bst.php?id=gxwshd8m/8000000
江西卫视,http://php.jdshipin.com:8880/bst.php?id=jxws
重庆卫视,http://php.jdshipin.com:8880/bst.php?id=cqws
广东卫视,http://php.jdshipin.com:8880/bst.php?id=gdwshd/4000000
贵州卫视,http://php.jdshipin.com:8880/bst.php?id=gzwshd8m/8000000
北京卫视,http://php.jdshipin.com:8880/bst.php?id=bjwshd/4000000
深圳卫视,http://php.jdshipin.com:8880/bst.php?id=szwshd/4000000
甘肃卫视,http://php.jdshipin.com:8880/bst.php?id=gswshd8m/8000000
北京卫视,http://php.jdshipin.com:8880/bst.php?id=bjws
三沙卫视,http://php.jdshipin.com:8880/bst.php?id=ssws
辽宁卫视,http://php.jdshipin.com:8880/bst.php?id=lnwshd8m/8000000
吉林卫视,http://php.jdshipin.com:8880/bst.php?id=jlwshd8m/8000000
