
▶️┃央视,#genre#
CCTV1,http://8.134.82.80:32858/ysp/haiouysp.php?id=1
CC高清,https://pan.shangui.cc/f/L4vAi3/202403091715.mp4
CCTV2,http://8.134.82.80:32858/ysp/haiouysp.php?id=2
CCTV3,http://8.134.82.80:32858/ysp/haiouysp.php?id=3
CCTV4,http://8.134.82.80:32858/ysp/haiouysp.php?id=4
CCTV5,http://8.134.82.80:32858/ysp/haiouysp.php?id=5
CCTV5+,http://8.134.82.80:32858/ysp/haiouysp.php?id=6
CCTV6,http://8.134.82.80:32858/ysp/haiouysp.php?id=7
CCTV7,http://8.134.82.80:32858/ysp/haiouysp.php?id=8
CCTV8,http://8.134.82.80:32858/ysp/haiouysp.php?id=9
CCTV9,http://8.134.82.80:32858/ysp/haiouysp.php?id=10
CCTV10,http://8.134.82.80:32858/ysp/haiouysp.php?id=11
CC高清,https://pan.shangui.cc/f/L4vAi3/202403091715.mp4
CCTV11,http://8.134.82.80:32858/ysp/haiouysp.php?id=12
CCTV12,http://8.134.82.80:32858/ysp/haiouysp.php?id=13
CCTV13,http://8.134.82.80:32858/ysp/haiouysp.php?id=14
CCTV14,http://8.134.82.80:32858/ysp/haiouysp.php?id=15
CCTV15,http://8.134.82.80:32858/ysp/haiouysp.php?id=16
CCTV16,http://8.134.82.80:32858/ysp/haiouysp.php?id=17
CCTV17,http://8.134.82.80:32858/ysp/haiouysp.php?id=18
CCTV4k,http://8.134.82.80:32858/ysp/haiouysp.php?id=19
CCTV8k,http://8.134.82.80:32858/ysp/haiouysp.php?id=20
▶️┃卫视,#genre#
凤凰中文,http://39.134.18.196:80/wh7f454c46tw2172490011_-1360941031/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8?icpid=88888890&RTS=1707328982&from=20&ocs=2_111.20.45.169_80&hms_devid=8368&online=1707328982&vqe=3
凤凰资讯,http://39.134.18.196:80/wh7f454c46tw2280983051_-1501544638/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8?icpid=88888890&RTS=1707329090&from=20&ocs=2_111.20.45.166_80&hms_devid=8368&online=1707329090&vqe=3
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
CC高清,https://pan.shangui.cc/f/L4vAi3/202403091715.mp4
台视,P2p://generationnexxxt.com:19806/9868c18e3c0940cd8aa003d9ae54f862
安徽卫视,http://gzcbn.ch-cdn.gitv.tv/gitv_escape/G_ANHUI-HD-265-8M/G_ANHUI-HD-265-8M.m3u8
湖南卫视,https://cdn2.jdshipin.com/api/bst2.php?id=hunanwshd8m/8000000
安徽卫视,https://cdn2.jdshipin.com/api/bst2.php?id=ahwshd8m/8000000
浙江卫视,https://cdn2.jdshipin.com/api/bst2.php?id=zjwshd8m/8000000
CC高清,https://pan.shangui.cc/f/L4vAi3/202403091715.mp4
江苏卫视,https://cdn2.jdshipin.com/api/bst2.php?id=jswshd8m/8000000
广西卫视,https://cdn2.jdshipin.com/api/bst2.php?id=gxwshd8m/8000000
四川卫视,https://cdn2.jdshipin.com/api/bst2.php?id=scwshd/8000000
东方卫视,https://cdn2.jdshipin.com/api/bst2.php?id=dfwshd8m/8000000
北京卫视,https://cdn2.jdshipin.com/api/bst2.php?id=bjwshd8m/8000000
天津卫视,https://cdn2.jdshipin.com/api/bst2.php?id=tjwshd8m/8000000
辽宁卫视,https://cdn2.jdshipin.com/api/bst2.php?id=lnwshd8m/8000000
广东卫视,https://cdn2.jdshipin.com/api/bst2.php?id=gdwshd8m/8000000
深圳卫视,https://cdn2.jdshipin.com/api/bst2.php?id=szwshd8m/8000000
湖北卫视,https://cdn2.jdshipin.com/api/bst2.php?id=hubeiws8m/8000000
吉林卫视,https://cdn2.jdshipin.com/api/bst2.php?id=jlwshd8m/8000000
山东卫视,https://cdn2.jdshipin.com/api/bst2.php?id=sdws8m/8000000
江西卫视,https://cdn2.jdshipin.com/api/bst2.php?id=jxws8m/8000000
河南卫视,https://cdn2.jdshipin.com/api/bst2.php?id=hnwshd8m/8000000
河北卫视,https://cdn2.jdshipin.com/api/bst2.php?id=hbwshd8m/8000000
甘肃卫视,https://cdn2.jdshipin.com/api/bst2.php?id=gswshd8m/8000000
重庆卫视,https://cdn2.jdshipin.com/api/bst2.php?id=cqws8m/8000000
东南卫视,https://cdn2.jdshipin.com/api/bst2.php?id=dnwshd8m/8000000
云南卫视,https://cdn2.jdshipin.com/api/bst2.php?id=ynwshd8m/8000000
贵州卫视,https://cdn2.jdshipin.com/api/bst2.php?id=gzwshd8m/8000000
三沙卫视,https://cdn2.jdshipin.com/api/bst2.php?id=sswshd8m/8000000
海南卫视,https://cdn2.jdshipin.com/api/bst2.php?id=hainanwshd8m/8000000
海峡卫视,https://cdn2.jdshipin.com/api/bst2.php?id=hxwshd4m/4000000
黑龙江卫视,https://cdn2.jdshipin.com/api/bst2.php?id=hljwshd8m/8000000
欢笑剧场4K,https://cdn2.jdshipin.com/api/bst2.php?id=hxjc4k/15000000
欢笑剧场,https://cdn2.jdshipin.com/api/bst2.php?id=hxjc8m/8000000
劲爆体育,https://cdn2.jdshipin.com/api/bst2.php?id=jbtyhd8m/8000000
